mainData_articul;configCard_section;mainData_name;mainData_description;mainData_price;mainData_oldPrice;characteristic_width;characteristic_picture;characteristic_color;characteristic_counryOfOrigin;characteristic_composition;characteristic_weight;seoTags_header;seoTags_description;seoTags_keyWords
П-пр-6;Премиальный хлопок;Перкаль елочки золотые;Ткань с золотым напылением<br /><br />Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;319;480;160;Цветы и растения;Золотой;Польша;100% хлопок;115гр.;;;
П-пр-7;Премиальный хлопок;Перкаль птицы в клетке;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;339;480;160;Птицы и бабочки;Мультицвет;Польша;100% хлопок;115гр.;;;
П-пр-8;Поплин;Поплин премиум единороги;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;248;320;160;Зверята;Мультицвет;Польша;100% хлопок;120гр;;;
П-пр-9;Поплин;Поплин премиум буквы;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;248;320;160;Прочие;Мультицвет;Польша;100% хлопок;120гр;;;
П-пр-10;Поплин;Поплин премиум реснички;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;248;320;160;Прочие;Мультицвет;Польша;100% хлопок;120гр;;;
П-лш-1;Перкаль;Перкаль лошадки на синем;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;189;265;160;Зверята;Мультицвет;Польша;100% хлопок;125гр;;;
Фл-1;Флис;Флис белый;Флис антипиллинг односторонний<br /><br />Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;325;;150;Однотонный;Белый;Китай;100% пэ;180гр;;;
Фл-2;Флис;Флис бежевый;Флис антипиллинг односторонний<br /><br />Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;325;;150;Однотонный;Бежевый;Китай;100% пэ;180гр;;;
Фл-3;Флис;Флис синий джинс;Флис антипиллинг односторонний<br /><br />Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;325;;150;Однотонный;Синий;Китай;100% пэ;180гр;;;
К-инт-12;Трикотаж;Интерлок шляпы;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;540;;180;Прочие;Мультицвет;Китай;100% хлопок;220гр;;;
К-инт-16;Трикотаж;Интрелок воздушные шары розовые;;520;;180;Транспорт;Мультицвет;Китай;100% хлопок;200гр;;;
К-инт-17;Трикотаж;Интрелок воздушные шары голубые;;520;;180;Транспорт;Мультицвет;Китай;100% хлопок;200гр;;;
К-инт-19;Трикотаж;Интерлок принцесса;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;640;;190;Девочки;Мультицвет;Китай;100% хлопок;200гр;;;
К-бт-1;Батист;Батист мушка белый;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;440;;150;Однотонный;Белый;Китай;100% хлопок;100гр;;;
К-бт-2;Батист;Батист мушка светлый розовый;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;368;440;150;Однотонный;Розовый;Китай;100% хлопок;100гр;;;
К-бт-3;Батист;Батист мушка голубой;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;368;440;150;Однотонный;Голубой;Китай;100% хлопок;100гр;;;
Вф-2;Вафельное полотно;Вафельное полотно кремовый;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;159;200;150;Однотонный;Кремовый;Россия;100% хлопок;150гр;;;
Вф-3;Вафельное полотно;Вафельное полотно розовый;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;159;200;150;Однотонный;Розовый;Россия;100% хлопок;150гр;;;
